:ID,name,:LABEL
内科,内科,科室
消化内科,消化内科,科室
神经内科,神经内科,科室
心血管内科,心血管内科,科室
肾内科,肾内科,科室
血液内科,血液内科,科室
免疫科,免疫科,科室
内分泌科,内分泌科,科室
外科,外科,科室
普通外科,普通外科,科室
神经外科,神经外科,科室
心胸外科,心胸外科,科室
泌尿外科,泌尿外科,科室
心血管外科,心血管外科,科室
乳腺外科,乳腺外科,科室
肝胆外科,肝胆外科,科室
器官移植,器官移植,科室
肛肠外科,肛肠外科,科室
烧伤科,烧伤科,科室
骨外科,骨外科,科室
儿科,儿科,科室
儿科综合,儿科综合,科室
小儿内科,小儿内科,科室
小儿外科,小儿外科,科室
新生儿科,新生儿科,科室
儿童营养保健科,儿童营养保健科,科室
肿瘤科,肿瘤科,科室
肿瘤内科,肿瘤内科,科室
肿瘤外科,肿瘤外科,科室
肿瘤妇科,肿瘤妇科,科室
骨肿瘤科,骨肿瘤科,科室
放疗科,放疗科,科室
肿瘤康复科,肿瘤康复科,科室
肿瘤综合科,肿瘤综合科,科室
皮肤性病科,皮肤性病科,科室
皮肤科,皮肤科,科室
性病科,性病科,科室
中医科,中医科,科室
中医全科,中医全科,科室
中医内科,中医内科,科室
中医外科,中医外科,科室
中医妇科,中医妇科,科室
中医儿科,中医儿科,科室
中医保健科,中医保健科,科室
针灸按摩科,针灸按摩科,科室
中医骨伤科,中医骨伤科,科室
中医肿瘤科 ,中医肿瘤科 ,科室
传染科,传染科,科室
肝病科,肝病科,科室
艾滋病科,艾滋病科,科室
结核病,结核病,科室
寄生虫 ,寄生虫 ,科室
精神心理科,精神心理科,科室
精神科,精神科,科室
心理咨询科,心理咨询科,科室
整形美容科,整形美容科,科室
麻醉医学科,麻醉医学科,科室
麻醉科,麻醉科,科室
疼痛科,疼痛科,科室
医学影像科,医学影像科,科室
核医学科,核医学科,科室
放射科,放射科,科室
超声科,超声科,科室
药剂科,药剂科,科室
护理科,护理科,科室
体检科,体检科,科室
检验科,检验科,科室
急诊科,急诊科,科室
公共卫生与预防科,公共卫生与预防科,科室
全科,全科,科室
胸内科,胸内科,科室
预防接种门诊,预防接种门诊,科室
普外科,普外科,科室
胸外科,胸外科,科室
男科,男科,科室
男性科,男性科,科室
生殖科,生殖科,科室
甲乳外科,甲乳外科,科室
整形科,整形科,科室
烧伤整形科,烧伤整形科,科室
骨科,骨科,科室
小儿科,小儿科,科室
儿童内科,儿童内科,科室
成长发育门诊,成长发育门诊,科室
儿内科,儿内科,科室
儿外科,儿外科,科室
儿童外科,儿童外科,科室
儿保科,儿保科,科室
童保健科,童保健科,科室
康复科,康复科,科室
康复门诊,康复门诊,科室
针灸科,针灸科,科室
理疗科,理疗科,科室
感染科,感染科,科室
传染病科,传染病科,科室
心理医学科,心理医学科,科室
精神医学科,精神医学科,科室
心理咨询门诊,心理咨询门诊,科室
美容科,美容科,科室
影像科,影像科,科室
CT室,CT室,科室
拍片室,拍片室,科室
X光室,X光室,科室
B超室,B超室,科室
彩超室,彩超室,科室
超声医学科,超声医学科,科室
健康管理科,健康管理科,科室
检验室,检验室,科室
检验中心,检验中心,科室
中心检验室,中心检验室,科室
全科门诊,全科门诊,科室
牙科,牙科,科室
口腔医学科,口腔医学科,科室
口腔额面外科,口腔额面外科,科室
口腔医学中心,口腔医学中心,科室
发热诊室,发热诊室,科室
中医治未病科,中医治未病科,科室
耳鼻喉科,耳鼻喉科,科室
妇产科,妇产科,科室
妇科,妇科,科室
肝胆科,肝胆科,科室
肛肠科,肛肠科,科室
呼吸科,呼吸科,科室
口腔,口腔,科室
口腔科,口腔科,科室
泌尿科,泌尿科,科室
乳腺科,乳腺科,科室
消化科,消化科,科室
心内科,心内科,科室
眼科,眼科,科室
发热门诊,发热门诊,科室
治未病科,治未病科,科室
